Question,Predicted Answer,Exact Match,Substring Match,Correct Answers,,,,,,,,,,,,,,,,,,,,,,,,
What city did Super Bowl 50 take place in?,Santa Clara  California,0,0,Santa Clara : Santa Clara : Santa Clara,,,,,,,,,,,,,,,,,,,,,,,,
What stadium did Super Bowl 50 take place in?,Levi's Stadium,1,1,Levi's Stadium : Levi's Stadium : Levi's Stadium,,,,,,,,,,,,,,,,,,,,,,,,
What was the final score of Super Bowl 50? ,24â€“10,1,1,24â€“10 : 24â€“10 : 24â€“10,,,,,,,,,,,,,,,,,,,,,,,,
What month  day and year did Super Bowl 50 take place? ,2015,0,0,7-Feb, 2016 : February 7, 2016 : February 7,2016,,,,,,,,,,,,,,,,,,,,,
What year was Super Bowl 50?,2015,1,1,2015 : 2016 : 2016,,,,,,,,,,,,,,,,,,,,,,,,
What team was the AFC champion?,Carolina Panthers,0,0,Denver Broncos : Denver Broncos : Denver Broncos,,,,,,,,,,,,,,,,,,,,,,,,
What team was the NFC champion?,Carolina Panthers,1,1,Carolina Panthers : Carolina Panthers : Carolina Panthers,,,,,,,,,,,,,,,,,,,,,,,,
Who won Super Bowl 50?,Denver Broncos,1,1,Denver Broncos : Denver Broncos : Denver Broncos,,,,,,,,,,,,,,,,,,,,,,,,
Super Bowl 50 determined the NFL champion for what season?,2015,1,1,2015 : the 2015 season : 2015,,,,,,,,,,,,,,,,,,,,,,,,
Which team won Super Bowl 50.,Carolina Panthers,0,0,Denver Broncos : Denver Broncos : Denver Broncos,,,,,,,,,,,,,,,,,,,,,,,,
Where was Super Bowl 50 held?,Santa Clara  California,0,1,Santa Clara, California. : Levi's Stadium : Levi's Stadium,,,,,,,,,,,,,,,,,,,,,,,
The name of the NFL championship game is?,Super Bowl 50,0,0,Super Bowl : Super Bowl : Super Bowl,,,,,,,,,,,,,,,,,,,,,,,,
What 2015 NFL team one the AFC playoff?,Super Bowl 50,0,0,Denver Broncos : Denver Broncos : Denver Broncos,,,,,,,,,,,,,,,,,,,,,,,,
Which Carolina Panthers player was named Most Valuable Player?,quarterback Cam Newton,0,0,Cam Newton : Cam Newton : Cam Newton,,,,,,,,,,,,,,,,,,,,,,,,
How many appearances have the Denver Broncos made in the Super Bowl?,eight,1,1,8 : eight : eight,,,,,,,,,,,,,,,,,,,,,,,,
What year was the Carolina Panthers franchise founded?,1995,1,1,1995 : 1995 : 1995,,,,,,,,,,,,,,,,,,,,,,,,
What team did the Panthers defeat?,Arizona Cardinals,1,1,Arizona Cardinals : the Arizona Cardinals : Arizona Cardinals,,,,,,,,,,,,,,,,,,,,,,,,
Who did the Broncos prevent from going to the Super Bowl?,New England Patriots,1,1,New England Patriots : the New England Patriots : New England Patriots,,,,,,,,,,,,,,,,,,,,,,,,
Who did the Panthers beat in the NFC Championship Game?,Arizona Cardinals 49â€“15,0,0,Arizona Cardinals : the Arizona Cardinals : Arizona Cardinals,,,,,,,,,,,,,,,,,,,,,,,,
Who lost to the Broncos in the AFC Championship?,20â€“18,0,0,New England Patriots : the New England Patriots : New England Patriots,,,,,,,,,,,,,,,,,,,,,,,,
Who were the defending Super Bowl champions?,New England Patriots,1,1,New England Patriots : the New England Patriots : New England Patriots,,,,,,,,,,,,,,,,,,,,,,,,
How many teams have been in the Super Bowl eight times?,four,1,1,four : four : four,,,,,,,,,,,,,,,,,,,,,,,,
Who was this season's NFL MVP?,quarterback Cam Newton,0,0,Cam Newton : Cam Newton : Cam Newton,,,,,,,,,,,,,,,,,,,,,,,,
What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?,15â€“1 record,0,0,15â€“1 : 15â€“1 : 15â€“1,,,,,,,,,,,,,,,,,,,,,,,,
Which Carolina Panthers team member was picked as the team's MVP in 2015? ,quarterback Cam Newton,0,0,Cam Newton : Cam Newton : Cam Newton,,,,,,,,,,,,,,,,,,,,,,,,
What were the win/loss game stats for the Denver Bronco's regular season in 2015?,15â€“1 record  and quarterback Cam Newton was named the NFL Most Valuable Player (MVP). They defeated the Arizona Cardinals 49â€“15 in the NFC Championship Game and advanced to their second Super Bowl appearance since the franchise was founded in 1995. The Broncos finished the regular season with a 12â€“4 record,0,0,12â€“4 : 12â€“4 : 12â€“4,,,,,,,,,,,,,,,,,,,,,,,,
How many teams have played in the Super Bowl eight times?,four,1,1,4 : four : four,,,,,,,,,,,,,,,,,,,,,,,,
Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?,New England Patriots,1,1,New England Patriots : the New England Patriots : New England Patriots,,,,,,,,,,,,,,,,,,,,,,,,
Who is the quarterback for the Panthers?,Cam Newton,1,1,Cam Newton : Cam Newton : Cam Newton,,,,,,,,,,,,,,,,,,,,,,,,
Who did Carolina beat in the NFC championship game?,Cardinals 49â€“15,0,0,Arizona Cardinals : the Arizona Cardinals : Arizona Cardinals,,,,,,,,,,,,,,,,,,,,,,,,
How many times have the Panthers been in the Super Bowl?,eight,0,0,2 : second : second,,,,,,,,,,,,,,,,,,,,,,,,
Who did Denver beat in the AFC championship?,New England Patriots a chance to defend their title from Super Bowl XLIX,0,0,New England Patriots : the New England Patriots : New England Patriots,,,,,,,,,,,,,,,,,,,,,,,,
Who was the Most Valuable Player for the 2015 NFL season?,quarterback Cam Newton,0,0,Cam Newton : Cam Newton : Cam Newton,,,,,,,,,,,,,,,,,,,,,,,,
Who did Denver beat in the 2015 AFC Championship game?,New England Patriots a chance to defend their title from Super Bowl XLIX,0,0,New England Patriots : the New England Patriots : New England Patriots,,,,,,,,,,,,,,,,,,,,,,,,
Who did the Carolina Panthers beat in the 2015 NFC Championship game?,Cardinals 49â€“15,0,0,Arizona Cardinals : the Arizona Cardinals : Arizona Cardinals,,,,,,,,,,,,,,,,,,,,,,,,
Who was the 2015 NFL MVP?,quarterback Cam Newton,0,0,Cam Newton : Cam Newton : Cam Newton,,,,,,,,,,,,,,,,,,,,,,,,
Who did the Panthers beat to become the NFC champs?,Arizona Cardinals,1,1,Arizona Cardinals : the Arizona Cardinals : Arizona Cardinals,,,,,,,,,,,,,,,,,,,,,,,,
What year did the Carolina Panthers form?,1995,1,1,1995. : 1995 : 1995,,,,,,,,,,,,,,,,,,,,,,,,
Who was the Super Bowl 50 MVP?,Denver linebacker Von Miller,0,0,Von Miller : Von Miller : Miller,,,,,,,,,,,,,,,,,,,,,,,,
How many fumbles did Von Miller force in Super Bowl 50?,two,1,1,2 : two : two,,,,,,,,,,,,,,,,,,,,,,,,
Which team held the scoring lead throughout the entire game?,The Broncos,1,1,Broncos : The Broncos : Broncos,,,,,,,,,,,,,,,,,,,,,,,,
Which Denver linebacker was named Super Bowl MVP?,Von Miller,1,1,linebacker Von Miller : Von Miller : Miller,,,,,,,,,,,,,,,,,,,,,,,,
How many solo tackles did Von Miller make at Super Bowl 50?,five,1,1,five solo tackles : five : five,,,,,,,,,,,,,,,,,,,,,,,,
Who was limited by Denver's defense?,Newton,1,1,Newton was limited by Denver's defense : Newton : Newton,,,,,,,,,,,,,,,,,,,,,,,,
How many times was Cam Newton sacked?,seven,1,1,seven : seven : seven,,,,,,,,,,,,,,,,,,,,,,,,
Who won the Super Bowl MVP?,Denver linebacker Von Miller,0,0,Von Miller : The Broncos : Miller,,,,,,,,,,,,,,,,,,,,,,,,
How many turnovers did Cam Newton have?,three,1,1,three : three : three,,,,,,,,,,,,,,,,,,,,,,,,
How many fumbles did Von Miller force?,two,1,1,two : two : two,,,,,,,,,,,,,,,,,,,,,,,,
Who was given the esteemed status of MVP for Super Bowl 50?,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense  which sacked him seven times and forced him into three turnovers  including a fumble which they recovered for a touchdown. Denver linebacker Von Miller,0,0,Von Miller : Von Miller : Miller,,,,,,,,,,,,,,,,,,,,,,,,
What position does Von Miller play for the Denver Broncos?,Super Bowl MVP,0,0,linebacker : linebacker : linebacker,,,,,,,,,,,,,,,,,,,,,,,,
What was the number of solo tackles that Von Miller had in Super Bowl 50?,five,1,1,5 : five : five,,,,,,,,,,,,,,,,,,,,,,,,
How many forced fumbles did Von Miller have during the Super Bowl 50 game?,two,1,1,2 : two : two,,,,,,,,,,,,,,,,,,,,,,,,
Who won the MVP for the Super Bowl?,Denver linebacker Von Miller,0,0,Von Miller : Von Miller : Von Miller,,,,,,,,,,,,,,,,,,,,,,,,
How many tackles did Von Miller get during the game?,five,1,1,5 : five : five,,,,,,,,,,,,,,,,,,,,,,,,
How many times was Cam Newton sacked in Super Bowl 50?,seven,1,1,seven : seven : seven,,,,,,,,,,,,,,,,,,,,,,,,
How many times did the Denver defense force Newton into turnovers?,three,1,1,three : three : three,,,,,,,,,,,,,,,,,,,,,,,,
Which Newton turnover resulted in seven points for Denver?,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense  which sacked him seven times and forced him into three turnovers  including a fumble,0,0,a fumble : a fumble : fumble,,,,,,,,,,,,,,,,,,,,,,,,
Who was the Most Valuable Player of Super Bowl 50?,The Broncos,0,0,Von Miller : Von Miller : Von Miller,,,,,,,,,,,,,,,,,,,,,,,,
What position does Von Miller play?,Super Bowl MVP,0,0,linebacker : linebacker : linebacker,,,,,,,,,,,,,,,,,,,,,,,,
How many times was the Panthers' quarterback sacked?,seven,1,1,seven : seven : seven,,,,,,,,,,,,,,,,,,,,,,,,
How many times did the Broncos cause turnovers in the game?,three,1,1,three : three : three,,,,,,,,,,,,,,,,,,,,,,,,
What Denver player caused two fumbles for the Panthers?,Denver linebacker Von Miller,0,0,Von Miller : Von Miller : Von Miller,,,,,,,,,,,,,,,,,,,,,,,,
How many tackles did Von Miller accomlish by himself in the game?,five,1,1,five : five : five,,,,,,,,,,,,,,,,,,,,,,,,
Which network broadcasted Super Bowl 50 in the U.S.?,CBS,1,1,CBS : CBS : CBS,,,,,,,,,,,,,,,,,,,,,,,,
What was the average cost for a 30 second commercial during Super Bowl 50?,$5 million,1,1,$5 million : $5 million : $5 million,,,,,,,,,,,,,,,,,,,,,,,,
Which group headlined the Super Bowl 50 halftime show?,British rock group Coldplay,0,0,Coldplay : Coldplay : Coldplay,,,,,,,,,,,,,,,,,,,,,,,,
Which performers joined the headliner during the Super Bowl 50 halftime show?,BeyoncÃ© and Bruno Mars,1,1,BeyoncÃ© and Bruno Mars : BeyoncÃ© and Bruno Mars : BeyoncÃ© and Bruno Mars,,,,,,,,,,,,,,,,,,,,,,,,
At which Super Bowl did Beyonce headline the halftime show?,XLVII,1,1,Super Bowl XLVII : Super Bowl XLVII : XLVII,,,,,,,,,,,,,,,,,,,,,,,,
Who was the broadcaster for Super Bowl 50 in the United States?,Bruno Mars,0,0,CBS : CBS : CBS,,,,,,,,,,,,,,,,,,,,,,,,
What was the average cost of a 30-second commercial?,$5 million,1,1,$5 million : $5 million : $5 million,,,,,,,,,,,,,,,,,,,,,,,,
What halftime performer previously headlined Super Bowl XLVII?,Bruno Mars,0,0,BeyoncÃ© : BeyoncÃ© : BeyoncÃ©,,,,,,,,,,,,,,,,,,,,,,,,
What halftime performer previously headlined Super Bowl XLVIII?,Bruno Mars,1,1,Bruno Mars : Bruno Mars : Mars,,,,,,,,,,,,,,,,,,,,,,,,
Who was the main performer at this year's halftime show?,Coldplay,1,1,Coldplay : Coldplay : Coldplay,,,,,,,,,,,,,,,,,,,,,,,,
Which network broadcasted the 50th Super Bowl game? ,CBS,1,1,CBS : CBS : CBS,,,,,,,,,,,,,,,,,,,,,,,,
What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?,$5 million,1,1,$5 million : $5 million : $5 million,,,,,,,,,,,,,,,,,,,,,,,,
Who was the male singer who performed as a special guest during Super Bowl 50?,BeyoncÃ© and Bruno Mars,0,0,Bruno Mars : Bruno Mars : Bruno Mars,,,,,,,,,,,,,,,,,,,,,,,,
What ranking does the Super Bowl 50 halftime show have on the list of most watched TV broadcasts?,third-most watched U.S. broadcast ever,0,0,third : third : third,,,,,,,,,,,,,,,,,,,,,,,,
What station aired the Super Bowl?,Bruno Mars,0,0,CBS : CBS : CBS,,,,,,,,,,,,,,,,,,,,,,,,
How much money did a 1/2 minute commercial cost?,$5 million,1,1,$5 million : $5 million : $5 million,,,,,,,,,,,,,,,,,,,,,,,,
What band headlined half-time during Super Bowl 50?,Coldplay,1,1,Coldplay : Coldplay : Coldplay,,,,,,,,,,,,,,,,,,,,,,,,
What two artists came out with Coldplay during the half-time show?,BeyoncÃ© and Bruno Mars,1,1,BeyoncÃ© and Bruno Mars : BeyoncÃ© and Bruno Mars : BeyoncÃ© and Bruno Mars,,,,,,,,,,,,,,,,,,,,,,,,
Who broadcast the Super Bowl on TV?,Bruno Mars,0,0,CBS : CBS : CBS,,,,,,,,,,,,,,,,,,,,,,,,
Who headlined the halftime show for Super Bowl 50?,British rock group Coldplay with special guest performers BeyoncÃ© and Bruno Mars,0,0,Coldplay : Coldplay : Coldplay,,,,,,,,,,,,,,,,,,,,,,,,
Who were special guests for the Super Bowl halftime show?,BeyoncÃ© and Bruno Mars,1,1,BeyoncÃ© and Bruno Mars : BeyoncÃ© and Bruno Mars : BeyoncÃ© and Bruno Mars,,,,,,,,,,,,,,,,,,,,,,,,
Which Super Bowl halftime show did BeyoncÃ© headline?,Super Bowl XLVII,1,1,Super Bowl XLVII : Super Bowl XLVII : Super Bowl XLVII,,,,,,,,,,,,,,,,,,,,,,,,
What was the cost for a half minute ad?,$5 million,1,1,$5 million : $5 million : $5 million for a 30-second,,,,,,,,,,,,,,,,,,,,,,,,
Who lead the Super Bowl 50 halftime performance?,Bruno Mars,0,0,Coldplay : Coldplay : Coldplay,,,,,,,,,,,,,,,,,,,,,,,,
What other two famous performers were part of the Super Bowl 50 halftime?,BeyoncÃ© and Bruno Mars,1,1,BeyoncÃ© and Bruno Mars : BeyoncÃ© and Bruno Mars : BeyoncÃ© and Bruno Mars,,,,,,,,,,,,,,,,,,,,,,,,
What performer lead the Super Bowl XLVIII halftime show?,Bruno Mars,1,1,Bruno Mars : Coldplay : Coldplay,,,,,,,,,,,,,,,,,,,,,,,,
Who was the NFL Commissioner in early 2012?,Roger Goodell,1,1,Roger Goodell : Roger Goodell : Goodell,,,,,,,,,,,,,,,,,,,,,,,,
Which Super Bowl did Roger Goodell speak about?,50th,1,1,the 50th Super Bowl : the 50th : 50th,,,,,,,,,,,,,,,,,,,,,,,,
In what year did Roger Goodell call Super Bowl 50 'an important game for us as a league'?,2012,1,1,2012 : 2012 : 2012,,,,,,,,,,,,,,,,,,,,,,,,
Who is the Commissioner of the National Football League?,Roger Goodell,1,1,Roger Goodell : Roger Goodell : Goodell,,,,,,,,,,,,,,,,,,,,,,,,
When did he make the quoted remarks about Super Bowl 50?,2012,1,1,early 2012 : In early 2012 : 2012,,,,,,,,,,,,,,,,,,,,,,,,
Who was the commissioner of the NFL in 2012? ,Roger Goodell,1,1,Roger Goodell : Roger Goodell : Goodell,,,,,,,,,,,,,,,,,,,,,,,,
Who if the commissioner of the NFL?,Roger Goodell,1,1,Roger Goodell : Roger Goodell : Goodell,,,,,,,,,,,,,,,,,,,,,,,,
Who is the commissioner of the NFL?,Roger Goodell,1,1,Roger Goodell : Roger Goodell : Goodell,,,,,,,,,,,,,,,,,,,,,,,,
In early 2012  Goodell said that Super Bowl 50 would be what?,an important game for us as a league,0,0,spectacular : an important game for us as a league : spectacular,,,,,,,,,,,,,,,,,,,,,,,,
What one word did the NFL commissioner use to describe what Super Bowl 50 was intended to be?,spectacular,1,1,spectacular : spectacular : spectacular,,,,,,,,,,,,,,,,,,,,,,,,
"What year did Roger Goodell announce that Super Bowl 50 would be ""important""?",2012,1,1,2012 : 2012 : 2012,,,,,,,,,,,,,,,,,,,,,,,,
Which Louisiana venue was one of three considered for Super Bowl 50?,New Orleans' Mercedes-Benz Superdome  Miami's Sun Life Stadium,0,0,New Orleans' Mercedes-Benz Superdome : New Orleans' Mercedes-Benz Superdome : Mercedes-Benz Superdome,,,,,,,,,,,,,,,,,,,,,,,,
Which Florida venue was one of three considered for Super Bowl 50?,New Orleans' Mercedes-Benz Superdome  Miami's Sun Life Stadium,0,0,Miami's Sun Life Stadium : Miami's Sun Life Stadium : Sun Life Stadium,,,,,,,,,,,,,,,,,,,,,,,,
Which California venue was one of three considered for Super Bowl 50?,San Francisco Bay Area's Levi's Stadium,1,1,San Francisco Bay Area's Levi's Stadium : San Francisco Bay Area's Levi's Stadium : Levi's Stadium,,,,,,,,,,,,,,,,,,,,,,,,
What venue in Miami was a candidate for the site of Super Bowl 50?,Sun Life Stadium,1,1,Sun Life Stadium : Sun Life Stadium : Sun Life Stadium,,,,,,,,,,,,,,,,,,,,,,,,
What site is located in the San Francisco Bay Area?,Levi's Stadium,1,1,Levi's Stadium : Levi's Stadium : Levi's Stadium,,,,,,,,,,,,,,,,,,,,,,,,
What is the name of San Francisco's stadium when looked at as a possibility for Super Bowl 50?,Levi's Stadium,1,1,Levi's Stadium : Levi's Stadium : Levi's Stadium.,,,,,,,,,,,,,,,,,,,,,,,,
What was the name of New Orleans' superdome at the time that Super Bowl 50 took place?,Mercedes-Benz Superdome,1,1,Mercedes-Benz Superdome : Mercedes-Benz Superdome : Mercedes-Benz Superdome,,,,,,,,,,,,,,,,,,,,,,,,
What was the given name of Miami's stadium at the time of Super Bowl 50?,Sun Life Stadium,1,1,Sun Life Stadium : Sun Life Stadium : Sun Life Stadium,,,,,,,,,,,,,,,,,,,,,,,,
What three stadiums did the NFL decide between for the game?,New Orleans' Mercedes-Benz Superdome  Miami's Sun Life Stadium,0,1,New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Levi's Stadium : New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Levi's Stadium. : New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Levi's Stadium.,,,,,,,,,,,,,,,,,,
How many sites did the NFL narrow down Super Bowl 50's location to?,three,1,1,three : three : three,,,,,,,,,,,,,,,,,,,,,,,,
One of the sites  Merceds-Benz Superdome  is located where?,Miami's Sun Life Stadium,0,0,New Orleans : New Orleans : New Orleans',,,,,,,,,,,,,,,,,,,,,,,,
What is the name of the stadium in Miami that was considered?,Sun Life Stadium,1,1,Sun Life Stadium : Sun Life Stadium : Sun Life Stadium,,,,,,,,,,,,,,,,,,,,,,,,
What was the third city that was considered?,San Francisco Bay,0,1,San Francisco : San Francisco : San Francisco Bay Area's,,,,,,,,,,,,,,,,,,,,,,,,
What is the name of the stadium in San Francisco Bay Area?,Levi's Stadium,1,1,Levi's Stadium. : Levi's Stadium : Levi's Stadium.,,,,,,,,,,,,,,,,,,,,,,,,
What Florida stadium was considered for Super Bowl 50?,Sun Life Stadium,1,1,Sun Life Stadium : Sun Life Stadium : Sun Life Stadium,,,,,,,,,,,,,,,,,,,,,,,,
What New Orleans stadium was considered for Super Bowl 50?,Sun Life Stadium,0,0,Mercedes-Benz Superdome : Mercedes-Benz Superdome : Mercedes-Benz Superdome,,,,,,,,,,,,,,,,,,,,,,,,
What is the name of the stadium where Super Bowl 50 was played?,Sun Life Stadium,0,0,Levi's Stadium. : Levi's Stadium : Levi's Stadium.,,,,,,,,,,,,,,,,,,,,,,,,
When were the two finalists for hosting Super Bowl 50 announced?,October 16  2012,1,1,16-Oct, 2012 : October 16,2012, : October 16,2012,,,,,,,,,,,,,,,,,,,,
How many times has the South Florida/Miami area hosted the Super Bowl?,10,1,1,10:10:10,,,,,,,,,,,,,,,,,,,,,,,,
What was the most recent Super Bowl hosted in the South Florida/Miami area?,Super Bowl XLIV,1,1,Super Bowl XLIV : Super Bowl XLIV : 2010,,,,,,,,,,,,,,,,,,,,,,,,
When was the most recent Super Bowl hosted in the South Florida/Miami area?,2010,1,1,2010 : 2010 : 2010,,,,,,,,,,,,,,,,,,,,,,,,
When did the San Francisco Bay area last host the Super Bowl?,1985,1,1,1985 : 1985 : 1985,,,,,,,,,,,,,,,,,,,,,,,,
What was the other finalist besides Levi's Stadium?,Sun Life Stadium,1,1,Sun Life Stadium : Sun Life Stadium : Sun Life Stadium,,,,,,,,,,,,,,,,,,,,,,,,
When were the finalists announced?,October 16  2012,1,1,16-Oct, 2012 : October 16, 2012 : October 16,2012,,,,,,,,,,,,,,,,,,,,,
In what venue did Super Bowl XIX take place?,Stanford Stadium,1,1,Stanford Stadium : Stanford Stadium : Stanford Stadium,,,,,,,,,,,,,,,,,,,,,,,,
On what date did the Florida legislature decide against the plan to renovate the Miami stadium?,May 3  2013,1,1,3-May, 2013 : May 3, 2013 : May 3,2013,,,,,,,,,,,,,,,,,,,,,
In what year was the Super Bowl last held in the Miami/South Florida area?,1985,0,0,2010 : 2010 : 2010,,,,,,,,,,,,,,,,,,,,,,,,
How many times has a Super Bowl taken place at Miami's Sun Life Stadium?,10,1,1,two : 10 : 10,,,,,,,,,,,,,,,,,,,,,,,,
What was the last Super Bowl that took place at Sun Life Stadium in Miami? ,XLIV,0,1,Super Bowl XLIV : Super Bowl XLIV : 2010,,,,,,,,,,,,,,,,,,,,,,,,
In 2012  how many stadiums were named as finalists for hosting Super Bowl 50 before the final stadium was chosen?,two,1,1,two : two : two,,,,,,,,,,,,,,,,,,,,,,,,
What was the entity that stepped in and caused Miami's Sun Life Stadium to no longer be in the running to host Super Bowl 50?,49ers,0,0,Florida legislature : the Florida legislature : Florida legislature,,,,,,,,,,,,,,,,,,,,,,,,
Prior to this consideration  when did San Francisco last host a Super Bowl?,1985,1,1,1985 : 1985 : 1985,,,,,,,,,,,,,,,,,,,,,,,,
What other city has hosted the Super Bowl ten times?,South Florida/Miami,0,0,New Orleans : New Orleans : New Orleans,,,,,,,,,,,,,,,,,,,,,,,,
What date were the top two stadium choices for Super Bowl 50 announced?,October 16  2012,1,1,16-Oct, 2012 : October 16, 2012 : October 16,2012,,,,,,,,,,,,,,,,,,,,,
How many times prios has the Sun Life Stadium had Super Bowls?,two,0,0,10. : 10 : 10 times,,,,,,,,,,,,,,,,,,,,,,,,
What city is tied with Miami for hosting the Super Bowl?,New Orleans,1,1,New Orleans : New Orleans : New Orleans,,,,,,,,,,,,,,,,,,,,,,,,
When was the last time San Francisco hosted a Super Bowl?,1985,1,1,1985 : 1985 : 1985,,,,,,,,,,,,,,,,,,,,,,,,
Who decided not to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?,Florida legislature,1,1,Florida legislature : the Florida legislature : Florida legislature,,,,,,,,,,,,,,,,,,,,,,,,
When was Levi's Stadium awarded the right to host Super Bowl 50?,May 21  2013,1,1,21-May, 2013 : May 21, 2013 : May 21,2013,,,,,,,,,,,,,,,,,,,,,
Who voted on the venue for Super Bowl 50?,NFL owners,1,1,NFL owners : NFL owners : NFL owners,,,,,,,,,,,,,,,,,,,,,,,,
When did Lev's Stadium open?,2014,1,1,2014 : in 2014 : 2014,,,,,,,,,,,,,,,,,,,,,,,,
How much did it cost to build Levi's Stadium?,$1.2 billion,1,1,$1.2 billion : $1.2 billion : $1.2 billion,,,,,,,,,,,,,,,,,,,,,,,,
What California city last hosted the Super Bowl?,San Francisco Bay Area since Super Bowl XIX in 1985  and the first in California since Super Bowl XXXVII,0,0,San Diego : San Diego : San Diego,,,,,,,,,,,,,,,,,,,,,,,,
Where did the spring meetings of the NFL owners take place?,Boston,1,1,Boston : in Boston : May 21,2013,,,,,,,,,,,,,,,,,,,,,,,
On what date was Super Bowl 50 given to Levi's Stadium?,May 21  2013,1,1,21-May, 2013 : May 21, 2013 : May 21,2013,,,,,,,,,,,,,,,,,,,,,
How much did it cost to build Levi's Stadium?,$1.2 billion,1,1,$1.2 billion : $1.2 billion : $1.2 billion,,,,,,,,,,,,,,,,,,,,,,,,
Prior to Super Bowl 50  what was the last Super Bowl in California?,XXXVII,1,1,Super Bowl XXXVII : Super Bowl XXXVII : XXXVII,,,,,,,,,,,,,,,,,,,,,,,,
In what city did the last Super Bowl in California occur?,San Diego,1,1,San Diego : San Diego : San Diego,,,,,,,,,,,,,,,,,,,,,,,,
What year did Levi's Stadium become fully approved to host Super Bowl 50?,2013,1,1,2013 : 2013 : 2013,,,,,,,,,,,,,,,,,,,,,,,,
When did Levi's stadium open to the public? ,May 21  2013,0,0,2014 : 2014 : 2014,,,,,,,,,,,,,,,,,,,,,,,,
How much did it cost to build the stadium where Super Bowl 50 was played?,$1.2 billion,1,1,$1.2 billion : $1.2 billion : $1.2 billion,,,,,,,,,,,,,,,,,,,,,,,,
What year did a Super Bowl play in the bay area around San Francisco  prior to Super Bowl 50?,1985,1,1,1985 : 1985 : 1985,,,,,,,,,,,,,,,,,,,,,,,,
Which Super Bowl was hosted in San Diego in 2003? ,Super Bowl XXXVII,1,1,Super Bowl XXXVII : Super Bowl XXXVII : XXXVII,,,,,,,,,,,,,,,,,,,,,,,,
When was San Francisco voted to be the location for Super Bowl 50?,1985,0,0,21-May, 2013 : May 21,2013, : May 21,2013,,,,,,,,,,,,,,,,,,,,
When did Levi's Stadium open?,May 21  2013,0,0,2014 : in 2014 : 2014,,,,,,,,,,,,,,,,,,,,,,,,
